Timestamp,Source IP,Destination Port,Protocol
2025-06-19 18:15:46,172.253.118.84,64961,UDP
2025-06-19 18:15:46,172.253.118.84,64961,UDP
2025-06-19 18:15:46,192.168.0.105,443,UDP
2025-06-19 18:15:46,192.168.0.105,443,UDP
2025-06-19 18:15:46,172.253.118.84,64961,UDP
2025-06-19 18:15:50,192.168.0.105,443,UDP
2025-06-19 18:15:50,142.251.220.42,52574,UDP
2025-06-19 18:15:52,192.168.0.105,53,UDP
2025-06-19 18:15:52,192.168.0.1,61682,UDP
2025-06-19 18:15:53,192.168.0.105,443,UDP
2025-06-19 18:15:53,142.251.43.10,56629,UDP
2025-06-19 18:15:55,142.251.220.42,52574,UDP
2025-06-19 18:15:56,192.168.0.105,443,UDP
2025-06-19 18:15:56,192.168.0.105,53,UDP
2025-06-19 18:15:56,192.168.0.1,56709,UDP
2025-06-19 18:15:56,192.168.0.105,53,UDP
2025-06-19 18:15:56,192.168.0.105,53,UDP
2025-06-19 18:15:56,192.168.0.1,54602,UDP
2025-06-19 18:15:56,192.168.0.1,64318,UDP
2025-06-19 18:15:56,192.168.0.105,443,UDP
2025-06-19 18:15:56,142.250.77.46,53422,UDP
2025-06-19 18:15:56,192.168.0.105,443,UDP
2025-06-19 18:15:56,142.250.77.46,53422,UDP
2025-06-19 18:15:56,192.168.0.105,53,UDP
2025-06-19 18:15:56,192.168.0.1,56709,UDP
2025-06-19 18:15:56,192.168.0.105,53,UDP
2025-06-19 18:15:56,192.168.0.105,53,UDP
2025-06-19 18:15:57,192.168.0.1,60065,UDP
2025-06-19 18:15:57,192.168.0.1,53211,UDP
2025-06-19 18:15:57,192.168.0.105,443,UDP
2025-06-19 18:15:57,192.168.0.105,443,UDP
2025-06-19 18:15:57,192.168.0.105,443,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,192.168.0.105,443,UDP
2025-06-19 18:15:57,192.168.0.105,443,UDP
2025-06-19 18:15:57,192.168.0.105,443,UDP
2025-06-19 18:15:57,192.168.0.105,443,UDP
2025-06-19 18:15:57,192.168.0.105,443,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,192.168.0.105,443,UDP
2025-06-19 18:15:57,192.168.0.105,443,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,192.168.0.105,443,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,173.194.154.73,58570,UDP
2025-06-19 18:15:57,192.168.0.105,443,UDP
2025-06-19 18:15:57,192.168.0.105,443,UDP
2025-06-19 18:15:57,192.168.0.105,443,UDP
2025-06-19 18:15:57,192.168.0.105,443,UDP
2025-06-19 18:15:57,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,173.194.154.73,58570,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:58,192.168.0.105,443,UDP
2025-06-19 18:15:59,192.168.0.105,443,UDP
2025-06-19 18:15:59,192.168.0.105,443,UDP
2025-06-19 18:15:59,173.194.154.73,58570,UDP
2025-06-19 18:15:59,173.194.154.73,58570,UDP
2025-06-19 18:15:59,173.194.154.73,58570,UDP
2025-06-19 18:15:59,173.194.154.73,58570,UDP
2025-06-19 18:15:59,173.194.154.73,58570,UDP
2025-06-19 18:15:59,173.194.154.73,58570,UDP
2025-06-19 18:15:59,192.168.0.105,443,UDP
