Timestamp,Source IP,Source Port,Destination IP,Destination Port,Protocol
19-06-2025 17.42,192.168.0.105,59699,142.250.70.42,443,UDP
19-06-2025 17.42,142.250.70.42,443,192.168.0.105,59699,UDP
19-06-2025 17.42,192.168.0.102,5353,224.0.0.251,5353,UDP
19-06-2025 17.42,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,192.168.0.102,5353,224.0.0.251,5353,UDP
19-06-2025 17.42,192.168.0.102,5353,224.0.0.251,5353,UDP
19-06-2025 17.42,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,142.250.70.42,443,192.168.0.105,59699,UDP
19-06-2025 17.42,192.168.0.105,59699,142.250.70.42,443,UDP
19-06-2025 17.42,192.168.0.105,61809,142.250.70.74,443,UDP
19-06-2025 17.42,142.250.70.74,443,192.168.0.105,61809,UDP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,142.251.220.14,443,192.168.0.105,55080,UDP
19-06-2025 17.42,192.168.0.105,55080,142.251.220.14,443,UDP
19-06-2025 17.42,192.168.0.105,56746,142.251.42.3,443,UDP
19-06-2025 17.42,192.168.0.105,56746,142.251.42.3,443,UDP
19-06-2025 17.42,192.168.0.105,56746,142.251.42.3,443,UDP
19-06-2025 17.42,192.168.0.105,56746,142.251.42.3,443,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,56746,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,56746,UDP
19-06-2025 17.42,192.168.0.105,56746,142.251.42.3,443,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,56746,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,56746,UDP
19-06-2025 17.42,142.251.42.3,443,192.168.0.105,56746,UDP
